"name","description"
"chromosome_name","Chromosome/scaffold name"
"start","Start"
"end","End"
"band_start","Band Start"
"band_end","Band End"
"marker_start","Marker Start"
"marker_end","Marker End"
"strand","Strand"
"chromosomal_region","e.g. 1:100:10000:-1, 1:100000:200000:1"
"with_biogrid","With BioGRID Interaction data, The General Repository for Interaction Datasets ID(s)"
"with_ccds","With CCDS ID(s)"
"with_chembl","With ChEMBL ID(s)"
"with_dbass3","With DataBase of Aberrant 3' Splice Sites ID(s)"
"with_dbass5","With DataBase of Aberrant 5' Splice Sites ID(s)"
"with_entrezgene_trans_name","With EntrezGene transcript name ID(s)"
"with_embl","With European Nucleotide Archive ID(s)"
"with_arrayexpress","With Expression Atlas ID(s)"
"with_genecards","With GeneCards ID(s)"
"with_go","With GO ID(s)"
"with_goslim_goa","With GOSlim GOA ID(s)"
"with_hgnc","With HGNC Symbol ID(s)"
"with_hpa","With Human Protein Atlas ID(s)"
"with_protein_id","With INSDC protein ID ID(s)"
"with_ens_lrg_gene","With LRG display in Ensembl gene ID(s)"
"with_ens_lrg_transcript","With LRG display in Ensembl transcript ID(s)"
"with_merops","With MEROPS - the Peptidase Database ID(s)"
"with_mim_gene","With MIM gene ID(s)"
"with_mim_morbid","With MIM morbid ID(s)"
"with_mirbase","With miRBase ID(s)"
"with_mirbase_trans_name","With miRBase transcript name ID(s)"
"with_entrezgene","With NCBI gene (formerly Entrezgene) ID(s)"
"with_pdb","With PDB ID(s)"
"with_reactome","With Reactome ID(s)"
"with_reactome_gene","With Reactome gene ID(s)"
"with_reactome_transcript","With Reactome transcript ID(s)"
"with_refseq_mrna","With RefSeq mRNA ID(s)"
"with_refseq_mrna_predicted","With RefSeq mRNA predicted ID(s)"
"with_refseq_ncrna","With RefSeq ncRNA ID(s)"
"with_refseq_ncrna_predicted","With RefSeq ncRNA predicted ID(s)"
"with_refseq_peptide","With RefSeq peptide ID(s)"
"with_refseq_peptide_predicted","With RefSeq peptide predicted ID(s)"
"with_rfam","With RFAM ID(s)"
"with_rfam_trans_name","With RFAM transcript name ID(s)"
"with_rnacentral","With RNAcentral ID(s)"
"with_hgnc_trans_name","With Transcript name ID(s)"
"with_ucsc","With UCSC Stable ID ID(s)"
"with_uniparc","With UniParc ID(s)"
"with_uniprot_gn","With UniProtKB Gene Name ID(s)"
"with_uniprot_isoform","With UniProtKB isoform ID(s)"
"with_uniprotswissprot","With UniProtKB/Swiss-Prot ID(s)"
"with_uniprotsptrembl","With UniProtKB/TrEMBL ID(s)"
"with_wikigene","With WikiGene ID(s)"
"ensembl_gene_id","Gene stable ID(s) [e.g. ENSG00000000003]"
